kegg	drugbank
D00289	DB01406
D07377	DB01408
D01703	DB01410
D02376	DB01413
D07629	DB01414
D00922	DB01415
D07650	DB01416
D07064	DB01418
D00959	DB01420
D00556	DB01424
D00199	DB01426
D00231	DB01427
D05309	DB01428
D01326	DB01429
D07126	DB01430
D01374	DB01431
D01776	DB01435
D01518	DB01436
D00532	DB01437
D08346	DB01438
D07286	DB01452
D07929	DB01466
D03144	DB01471
D01758	DB01476
D07627	DB01486
D03984	DB01487
D07315	DB01489
D02909	DB01490
D03809	DB01501
D02151	DB01505
D07784	DB01511
D07731	DB01521
D00179	DB01524
D03566	DB01527
D07287	DB01529
D07325	DB01534
D00051	DB01536
D07536	DB01541
D01230	DB01544
D01293	DB01545
D04092	DB01546
D01496	DB01547
D07947	DB01550
D01481	DB01551
D01268	DB01553
D01245	DB01558
D01328	DB01559
D00265	DB01563
D01354	DB01567
D03740	DB01576
D08347	DB01579
D02435	DB01581
D00361	DB01583
D00734	DB01586
D00470	DB01588
D00457	DB01589
D02714	DB01590
D08522	DB01591
D07328	DB01594
D00531	DB01595
D07698	DB01597
D00476	DB01599
D01425	DB01601
D02889	DB01605
D00660	DB01606
D01485	DB01608
D03669	DB01609
D02495	DB01610
D08050	DB01611
D00517	DB01612
D07065	DB01614
D07440	DB01616
D08226	DB01618
D08353	DB01619
D08385	DB01621
D08585	DB01622
D00374	DB01623
D03556	DB01624
D08453	DB01626
D00223	DB01627
D03710	DB01628
D00096	DB01638
D05744	DB01656
D02308	DB01677
D08409	DB01708
D03454	DB01718
D06392	DB01744
D01558	DB01750
D00853	DB01764
D04951	DB01776
D07413	DB01783
D05474	DB01791
D00078	DB01839
D05846	DB01910
D01783	DB01954
D00047	DB01956
D07769	DB02097
D03200	DB02145
D04041	DB02187
D00192	DB02192
D03793	DB02255
D00055	DB02262
D01581	DB02266
D01125	DB02300
D00137	DB02325
D02456	DB02362
D00009	DB02379
D02323	DB02383
D01039	DB02513
D00058	DB02530
D06320	DB02546
D03584	DB02587
D10699	DB02659
D00123	DB02679
D00036	DB02701
D04281	DB02703
D00025	DB02772
D00143	DB02789
D07456	DB02901
D01634	DB02925
D07339	DB02959
D03736	DB03044
D00005	DB03147
D00010	DB03166
D00119	DB03193
D09605	DB03206
D06399	DB03209
D00033	DB03255
D00031	DB03310
D00044	DB03323
D03738	DB03395
D00027	DB03419
D03998	DB03516
D03246	DB03614
D08478	DB03615
D00396	DB03754
D02310	DB03766
D00569	DB03783
D00038	DB03793
D05341	DB03796
D00017	DB03843
D01704	DB03849
D04115	DB03852
D03061	DB03880
D00023	DB03904
D05074	DB03994
D03248	DB04017
D00092	DB04115
D01666	DB04168
D02315	DB04224
D00037	DB04272
D05292	DB04291
D00054	DB04335
D00175	DB04339
D04897	DB04377
D00111	DB04398
D00046	DB04465
D06551	DB04468
D05220	DB04519
D00040	DB04540
D08275	DB04552
D04332	DB04564
D08109	DB04570
D01034	DB04571
D00583	DB04572
D00185	DB04573
D00576	DB04575
D01716	DB04576
D01883	DB04599
D02322	DB04626
D07349	DB04660
D01038	DB04703
D01774	DB04711
D01049	DB04743
D03080	DB04812
D00802	DB04813
D07107	DB04816
D08188	DB04817
D02579	DB04818
D05456	DB04824
D02383	DB04825
D00595	DB04830
D02386	DB04831
D00557	DB04833
D07335	DB04836
D01368	DB04839
D01303	DB04841
D02629	DB04842
D08575	DB04844
D04645	DB04845
D07660	DB04846
D10593	DB04847
D03128	DB04851
D03120	DB04853
D01206	DB04854
D02537	DB04855
D03153	DB04857
D06167	DB04858
D05127	DB04861
D08956	DB04865
D04413	DB04866
D08953	DB04868
D06613	DB04871
D01665	DB04878
D04004	DB04880
D03968	DB04881
D03954	DB04882
D03649	DB04884
D03495	DB04885
D03253	DB04887
D03110	DB04889
D01654	DB04890
D06281	DB04894
D08222	DB04896
D04295	DB04901
D02577	DB04908
D08885	DB04918
D08892	DB04920
D05443	DB04930
D04043	DB04933
D02550	DB04934
D08958	DB04938
D03605	DB04941
D01418	DB04942
D02666	DB04946
D09569	DB04953
D02696	DB04982
D03685	DB04983
D09393	DB05013
D09323	DB05016
D09318	DB05039
D04162	DB05076
D02938	DB05099
D03797	DB05100
D02364	DB05137
D10873	DB05219
D10405	DB05239
D00433	DB05245
D00404	DB05246
D02365	DB05262
D07885	DB05265
D05768	DB05271
D01733	DB05288
D06407	DB05294
D08990	DB05332
D08040	DB05381
D00108	DB05382
D09012	DB05521
D08946	DB05528
D08879	DB05541
